"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"ACALD"	"acetaldehyde dehydrogenase (acetylating)"	"[c] : acald + coa + nad <==> accoa + h + nadh"	"Reversible"	"C_c"	-1000	1000	0	"(b0351 or b1241)"	"Pyruvate Metabolism"
"ACALDt"	"acetaldehyde reversible transport"	"acald[e] <==> acald[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"s0001"	"Transport, Extracellular"
"ACKr"	"acetate kinase"	"[c] : ac + atp <==> actp + adp"	"Reversible"	"C_c"	-1000	1000	0	"(b3115 or b2296 or b1849)"	"Pyruvate Metabolism"
"ACONTa"	"aconitase (half-reaction A, Citrate hydro-lyase)"	"[c] : cit <==> acon_C + h2o"	"Reversible"	"C_c"	-1000	1000	0	"(b0118 or b1276)"	"Citric Acid Cycle"
"ACONTb"	"aconitase (half-reaction B, Isocitrate hydro-lyase)"	"[c] : acon_C + h2o <==> icit"	"Reversible"	"C_c"	-1000	1000	0	"(b0118 or b1276)"	"Citric Acid Cycle"
"ACt2r"	"acetate reversible transport via proton symport"	"ac[e] + h[e] <==> h[c] + ac[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	""	"Transport, Extracellular"
"ADK1"	"adenylate kinase"	"[c] : atp + amp <==> (2) adp"	"Reversible"	"C_c"	-1000	1000	0	"b0474"	"Oxidative Phosphorylation"
"AKGDH"	"2-Oxoglutarate dehydrogenase"	"[c] : coa + nad + akg --> nadh + co2 + succoa"	"Irreversible"	"C_c"	0	1000	0	"( b0116  and  b0726  and  b0727 )"	"Citric Acid Cycle"
"AKGt2r"	"2-oxoglutarate reversible transport via symport"	"h[e] + akg[e] <==> h[c] + akg[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"b2587"	"Transport, Extracellular"
"ALCD2x"	"alcohol dehydrogenase (ethanol)"	"[c] : nad + etoh <==> acald + h + nadh"	"Reversible"	"C_c"	-1000	1000	0	"(b0356 or b1478 or b1241)"	"Pyruvate Metabolism"
"ATPM"	"ATP maintenance requirement"	"[c] : atp + h2o --> h + adp + pi"	"Irreversible"	"C_c"	8.39	1000	0	""	"Oxidative Phosphorylation"
"ATPS4r"	"ATP synthase (four protons for one ATP)"	"adp[c] + (4) h[e] + pi[c] <==> (3) h[c] + atp[c] + h2o[c]"	"Reversible"	"C_c, C_e"	-1000	1000	0	"(((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735)) or ((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735) and b3739))"	"Oxidative Phosphorylation"
"Biomass_Ecoli_core_w_GAM"	"Biomass Objective Function with GAM"	"[c] : (3.547) nad + (3.7478) accoa + (59.81) atp + (59.81) h2o + (1.496) 3pg + (0.361) e4p + (0.0709) f6p + (0.129) g3p + (0.205) g6p + (0.2557) gln_L + (4.9414) glu_L + (13.0279) nadph + (1.7867) oaa + (0.5191) pep + (2.8328) pyr + (0.8977) r5p --> (3.7478) coa + (59.81) h + (3.547) nadh + (59.81) adp + (4.1182) akg + (59.81) pi + (13.0279) nadp"	"Irreversible"	"C_c"	0	1000	1	""	"none"
