AFFYMETRIX_ID	Name	Species
1456512_at	PDZ domain containing RING finger 4(Pdzrn4)	Mus musculus
1418855_at	late cornified envelope 1L(Lce1l)	Mus musculus
1458085_at	UBX domain protein 11(Ubxn11)	Mus musculus
1441772_at	purinergic receptor P2X, ligand-gated ion channel 4(P2rx4)	Mus musculus
1434917_at	cordon-bleu WH2 repeat(Cobl)	Mus musculus
1421456_at	purinergic receptor P2Y, G-protein coupled 1(P2ry1)	Mus musculus
1455872_at	family with sequence similarity 167, member A(Fam167a)	Mus musculus
1429802_at	hydroxysteroid (17-beta) dehydrogenase 14(Hsd17b14)	Mus musculus
1429869_at	cilia and flagella associated protein 57(Cfap57)	Mus musculus
1431654_at	ubiquitin specific peptidase 46, opposite strand 2(Usp46os2)	Mus musculus
1453488_at	RIKEN cDNA 4930458D05 gene(4930458D05Rik)	Mus musculus
1428882_at	WD repeat domain, phosphoinositide interacting 2(Wipi2)	Mus musculus
1450251_a_at	ligand of numb-protein X 1(Lnx1)	Mus musculus
1455825_s_at	ligand of numb-protein X 1(Lnx1)	Mus musculus
1457557_at	RIKEN cDNA A330076H08 gene(A330076H08Rik)	Mus musculus
1422983_at	integrin beta 6(Itgb6)	Mus musculus
1449367_at	three prime repair exonuclease 2(Trex2)	Mus musculus
1437662_at	acyl-CoA synthetase medium-chain family member 5(Acsm5)	Mus musculus
1430513_at	aldehyde dehydrogenase 3 family, member B2(Aldh3b2)	Mus musculus
1448745_s_at	loricrin(Lor)	Mus musculus
1420183_at	loricrin(Lor)	Mus musculus
1425452_s_at	family with sequence similarity 84, member A(Fam84a)	Mus musculus
1426600_at	solute carrier family 2 (facilitated glucose transporter), member 1(Slc2a1)	Mus musculus
1429408_at	TBC1 domain family, member 21(Tbc1d21)	Mus musculus
1440147_at	leucine-rich repeat LGI family, member 2(Lgi2)	Mus musculus
1451050_at	5'-nucleotidase, cytosolic III(Nt5c3)	Mus musculus
1456183_at	oogenesin 4(Oog4)	Mus musculus
1419431_at	epiregulin(Ereg)	Mus musculus
1426511_at	sushi domain containing 2(Susd2)	Mus musculus
1420677_x_at	late cornified envelope 1A1(Lce1a1)	Mus musculus
1459982_a_at	aquaporin 6(Aqp6)	Mus musculus
1423634_at	gasdermin A(Gsdma)	Mus musculus
1451594_s_at	serine (or cysteine) peptidase inhibitor, clade B, member 6c(Serpinb6c)	Mus musculus
1422222_at	involucrin(Ivl)	Mus musculus
1439878_at	involucrin(Ivl)	Mus musculus
1439836_at	ankyrin repeat and SOCS box-containing 15(Asb15)	Mus musculus
1453620_at	cortactin binding protein 2(Cttnbp2)	Mus musculus
1431829_a_at	ral guanine nucleotide dissociation stimulator-like 3(Rgl3)	Mus musculus
1428355_at	oxysterol binding protein 2(Osbp2)	Mus musculus
1433226_at	RIKEN cDNA 6330403N20 gene(6330403N20Rik)	Mus musculus
1428662_a_at	HOP homeobox(Hopx)	Mus musculus
1444254_at	tensin 4(Tns4)	Mus musculus
1439347_at	tensin 4(Tns4)	Mus musculus
1450539_at	keratin associated protein 5-1(Krtap5-1)	Mus musculus
1457016_at	predicted gene, 33628(Gm33628)	Mus musculus
1441011_at	predicted gene 12800(Gm12800)	Mus musculus
1420064_s_at	transketolase-like 1(Tktl1)	Mus musculus
1433005_at	RIKEN cDNA 4833446E11 gene(4833446E11Rik)	Mus musculus
1446748_at	uncharacterized LOC102635638(LOC102635638)	Mus musculus
1456877_at	dual oxidase 1(Duox1)	Mus musculus
1431554_a_at	annexin A9(Anxa9)	Mus musculus
1419409_at	late cornified envelope 1B(Lce1b)	Mus musculus
1460624_at	YOD1 deubiquitinase(Yod1)	Mus musculus
1436976_a_at	YOD1 deubiquitinase(Yod1)	Mus musculus
1451613_at	hornerin(Hrnr)	Mus musculus
1450748_at	sphingomyelin phosphodiesterase 3, neutral(Smpd3)	Mus musculus
1438665_at	sphingomyelin phosphodiesterase 3, neutral(Smpd3)	Mus musculus
1450618_a_at	small proline-rich protein 2A2(Sprr2a2)	Mus musculus
1437258_at	small proline-rich protein 2A2(Sprr2a2)	Mus musculus
1418100_at	chromodomain helicase DNA binding protein 3, opposite strand(Chd3os)	Mus musculus
1448952_at	chromodomain helicase DNA binding protein 3, opposite strand(Chd3os)	Mus musculus
1422871_at	potassium inwardly-rectifying channel, subfamily J, member 12(Kcnj12)	Mus musculus
1449959_x_at	late cornified envelope 1H(Lce1h)	Mus musculus
1457550_at	RIKEN cDNA 9530059O14 gene(9530059O14Rik)	Mus musculus
1441197_at	RIKEN cDNA 9530059O14 gene(9530059O14Rik)	Mus musculus
1450936_a_at	deoxyribonuclease 1-like 2(Dnase1l2)	Mus musculus
1423320_at	deoxyribonuclease 1-like 2(Dnase1l2)	Mus musculus
1429565_s_at	late cornified envelope 1M(Lce1m)	Mus musculus
1435482_at	fibrinogen C domain containing 1(Fibcd1)	Mus musculus
1458367_at	predicted gene 94(Gm94)	Mus musculus
1420431_at	repetin(Rptn)	Mus musculus
1430306_a_at	ATPase, H+ transporting, lysosomal V1 subunit C2(Atp6v1c2)	Mus musculus
1431609_a_at	acid phosphatase 5, tartrate resistant(Acp5)	Mus musculus
1422892_s_at	histocompatibility 2, class II antigen E alpha, pseudogene(H2-Ea-ps)	Mus musculus
1456784_at	predicted gene 14137(Gm14137)	Mus musculus
1420141_at	expressed sequence AA517023(AA517023)	Mus musculus
1426337_a_at	TEA domain family member 4(Tead4)	Mus musculus
1418609_at	interleukin 1 family, member 6(Il1f6)	Mus musculus
1426507_at	interleukin 1 family, member 5 (delta)(Il1f5)	Mus musculus
1451258_at	prostate stem cell antigen(Psca)	Mus musculus
1422904_at	flavin containing monooxygenase 2(Fmo2)	Mus musculus
1453435_a_at	flavin containing monooxygenase 2(Fmo2)	Mus musculus
1425002_at	secreted and transmembrane 1A(Sectm1a)	Mus musculus
1419427_at	colony stimulating factor 3 (granulocyte)(Csf3)	Mus musculus
1459833_x_at	calcium and integrin binding family member 2(Cib2)	Mus musculus
1445438_at	DDHD domain containing 1(Ddhd1)	Mus musculus
1437893_at	phospholipase B1(Plb1)	Mus musculus
1448265_x_at	myelin protein zero-like 2(Mpzl2)	Mus musculus
1416236_a_at	myelin protein zero-like 2(Mpzl2)	Mus musculus
1443997_at	G protein regulated inducer of neurite outgrowth 2(Gprin2)	Mus musculus
1421156_a_at	desmocollin 2(Dsc2)	Mus musculus
1426911_at	desmocollin 2(Dsc2)	Mus musculus
1460372_at	dual oxidase maturation factor 1(Duoxa1)	Mus musculus
1441672_at	DNA segment, Chr 3, ERATO Doi 547, expressed(D3Ertd547e)	Mus musculus
1441610_at	PHD finger protein 24(Phf24)	Mus musculus
1433923_at	keratin 77(Krt77)	Mus musculus
1449555_a_at	fetuin beta(Fetub)	Mus musculus
