accession	name	species	genus	family	order	class	phylum	superkingdom
NZ_CP009220.1	Corynebacterium deserti GIMN1.010	Corynebacterium deserti	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
NZ_AP017312.1	Aneurinibacillus soli strain CB4	Aneurinibacillus soli	Aneurinibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP028861.1	Borreliella garinii strain 20047	Borreliella garinii	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
NZ_CP048286.1	Paenibacillus rhizovicinus strain 14171R-81	Paenibacillus rhizovicinus	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP017040.1	Cutibacterium modestum strain F0672	Cutibacterium acnes	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
NZ_CP029255.1	Flavobacterium crocinum strain HYN0056	Flavobacterium crocinum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
NZ_CP083647.1	Corynebacterium falsenii strain FDAARGOS_1493	Corynebacterium jeikeium	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
NZ_CP021455.1	Comamonas serinivorans strain DSM 26136	Comamonas serinivorans	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
NZ_CP046052.1	Methylocystis heyeri strain H2	Methylocystis heyeri	Methylocystis	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP079110.1	Nosocomiicoccus ampullae strain DSM 19163	Staphylococcus cohnii	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
NZ_CP022986.1	Chryseobacterium camelliae strain Dolsongi-HT1	Chryseobacterium camelliae	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
NZ_CP071517.1	Lysobacter arenosi strain R7	Lysobacter soli	Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP046455.1	Corynebacterium sp. 2039	Corynebacterium occultum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
NZ_CP021120.1	Wolbachia endosymbiont of Chrysomya megacephala isolate wMeg	Wolbachia endosymbiont of Chrysomya megacephala	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
NZ_CP024634.1	Bathymodiolus thermophilus thioautotrophic gill symbiont strain EPR9N	Bathymodiolus thermophilus thioautotrophic gill symbiont	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	Unclassified Gammaproteobacteria	Gammaproteobacteria	Proteobacteria	Bacteria
NZ_CP022163.1	Melittangium boletus DSM 14713	Melittangium boletus	Melittangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
