ID	KO1	KO2	KO3	WT1	WT2	WT3
1415670_at	6531	5562.8	6822.4	7732.1	7191.2	7551.9
1415671_at	11486.3	10542.7	10641.4	10408.2	9484.5	7650.2
1415672_at	14339.2	13526.1	14444.7	12936.6	13841.7	13285.7
1415673_at	3156.8	2219.5	3264.4	2374.2	2201.8	2525.3
1415674_a_at	4002	3306.9	3777	3760.6	3137	2911.5
1415675_at	3468.4	3347.4	3332.9	3073.5	3046	2914.4
1415676_a_at	11657.3	11833.2	12083.9	12181.8	12508.3	11420.8
1415677_at	3457	3219.4	3650.6	4553.4	3908.3	3638.8
1415678_at	7380.1	7520.8	7603.9	6932.1	7670.1	8025.8
1415679_at	13077.8	13997.9	13574.8	13182.9	14734.2	14096
1415680_at	4125.8	4786.8	4829.2	4730	4605.3	4479.9
1415681_at	5945.1	5618.7	5810.9	5420.7	5121	4395.4
1415682_at	2687.3	2825.9	2816.6	2665.6	2127.8	2453.7
1415683_at	9218.3	9631.5	9316.8	8560.7	8389.7	8277.3
1415684_at	2320.5	2262.9	2054.9	1883.7	2108.2	1988.3
1415685_at	4243	4342.8	4176.5	3521	3815.5	3949.6
1415686_at	5824.3	5818.1	6353.4	5939.9	6289.6	6505.6
1415687_a_at	22028.3	22287.1	23586.1	23060	20210.2	20371.6
1415688_at	9415.5	9151.7	8764.9	9073.6	8026.8	7493.2
1415689_s_at	2514.8	2742.1	2410.4	2152	2401.2	2569.4
1415690_at	8388.7	8396.1	8936.6	7213.7	6786.1	7406
1415691_at	7384.5	7965.6	7314.7	7661.3	8235.4	7664.3
1415692_s_at	18538	18928.1	18238.9	19400.2	20229.1	14515.2
1415693_at	3303.1	3045.5	3577.7	3571.1	3142.8	2929.1
1415694_at	1946.5	1842.3	2210.9	2144.9	1808	1838
1415695_at	14612.9	13602.6	15127.1	12258.9	13194.6	12609.1
1415696_at	11758.2	12329.2	12832.8	12124.4	11797.8	12134.3
1415697_at	4297.4	4521.5	4006.8	4949.3	4651.8	3942.9
1415698_at	2578.5	2534.7	2279.5	2696.1	2886.9	2983
1415699_a_at	7348.1	8468.2	8175.4	8993.7	9997.9	8611.9
1415700_a_at	21959.9	21058.5	23435.1	20609	23054.4	24303
1415701_x_at	105065.3	110457	103686.3	113528.5	107097.9	102514.9
1415702_a_at	17028.5	16677.8	18411.8	15310.2	17499.6	16641.8
1415703_at	9023.1	9119.7	8852.5	9228	9671.7	9691.1
1415704_a_at	9658.9	9614.9	10009.9	9378.9	10113.6	10044.2
1415705_at	5644.6	4767.8	5110.1	4704.8	4076.9	4003.5
1415706_at	19723.3	21378.8	23091.8	22489	22866.1	20823.2
1415707_at	6083.6	7852.9	7026.3	7195.9	7301.9	7649.2
1415708_at	10489.9	9864.6	10341.8	9532.5	9988.4	9968
